17.03.2021,11:24:13.825,0.440
17.03.2021,11:24:14.858,0.450
17.03.2021,11:24:15.891,0.440
17.03.2021,11:24:16.925,0.450
17.03.2021,11:24:17.960,0.450
17.03.2021,11:24:18.991,0.450
17.03.2021,11:24:20.015,0.440
17.03.2021,11:24:21.048,0.450
17.03.2021,11:24:22.083,0.450
17.03.2021,11:24:23.116,0.450
17.03.2021,11:24:24.151,0.450
17.03.2021,11:24:25.183,0.450
17.03.2021,11:24:26.217,0.450
17.03.2021,11:24:27.249,0.450
17.03.2021,11:24:28.272,0.450
17.03.2021,11:24:29.306,0.450
17.03.2021,11:24:30.339,0.450
17.03.2021,11:24:31.373,0.450
17.03.2021,11:24:32.407,0.450
17.03.2021,11:24:33.440,0.450
17.03.2021,11:24:34.474,0.450
17.03.2021,11:24:35.514,0.450
17.03.2021,11:24:36.529,0.450
17.03.2021,11:24:37.562,0.460
17.03.2021,11:24:38.596,0.460
17.03.2021,11:24:39.630,0.460
17.03.2021,11:24:40.664,0.460
17.03.2021,11:24:41.697,0.460
17.03.2021,11:24:42.731,0.460
17.03.2021,11:24:43.769,0.460
17.03.2021,11:24:44.795,0.460
17.03.2021,11:24:45.819,0.460
17.03.2021,11:24:46.854,0.460
17.03.2021,11:24:47.886,0.460
17.03.2021,11:24:48.919,0.460
17.03.2021,11:24:49.953,0.460
17.03.2021,11:24:50.986,0.460
17.03.2021,11:24:52.021,0.460
17.03.2021,11:24:53.054,0.460
17.03.2021,11:24:54.085,0.460
17.03.2021,11:24:55.112,0.460
17.03.2021,11:24:56.142,0.460
17.03.2021,11:24:57.175,0.460
17.03.2021,11:24:58.209,0.460
17.03.2021,11:24:59.242,0.460
17.03.2021,11:25:00.276,0.460
17.03.2021,11:25:01.309,0.460
17.03.2021,11:25:02.343,0.460
17.03.2021,11:25:03.374,0.460
17.03.2021,11:25:04.399,0.460
17.03.2021,11:25:05.432,0.460
17.03.2021,11:25:06.466,0.460
17.03.2021,11:25:07.500,0.460
17.03.2021,11:25:08.533,0.460
17.03.2021,11:25:09.568,0.460
17.03.2021,11:25:10.602,0.460
17.03.2021,11:25:11.627,0.460
17.03.2021,11:25:12.658,0.460
17.03.2021,11:25:13.691,0.460
17.03.2021,11:25:14.724,0.460
17.03.2021,11:25:15.758,0.460
17.03.2021,11:25:16.791,0.460
17.03.2021,11:25:17.825,0.460
17.03.2021,11:25:18.857,0.460
17.03.2021,11:25:19.879,0.460
17.03.2021,11:25:20.913,0.460
17.03.2021,11:25:21.947,0.460
17.03.2021,11:25:22.983,0.460
17.03.2021,11:25:24.014,0.460
17.03.2021,11:25:25.050,0.460
17.03.2021,11:25:26.082,0.460
17.03.2021,11:25:27.114,0.460
17.03.2021,11:25:28.138,0.460
17.03.2021,11:25:29.171,0.460
